timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
13 102 114 0.38944353429238354 0.01055646570761648
22 180 208 0.3932255687043798 0.00677443129562022
26 161 198 0.39215704514283906 0.007842954857160966
29 215 236 0.3953796702367417 0.004620329763258324
31 122 150 0.3989227044298648 0.001077295570135195
33 254 308 0.3942554822372064 0.005744517762793611
34 254 308 0.3942554822372064 0.005744517762793611
38 213 323 0.3982825439638601 0.0017174560361399305
41 281 327 0.3979825721922565 0.0020174278077434993
44 22 40 0.3963987386016798 0.0036012613983202324
45 22 40 0.3963987386016798 0.0036012613983202324
45 199 235 0.395954805055252 0.004045194944748032
45 439 454 0.39910115092084925 8.988490791507764E-4
46 22 40 0.3963987386016798 0.0036012613983202324
47 22 40 0.3963987386016798 0.0036012613983202324
48 22 40 0.3963987386016798 0.0036012613983202324
49 22 40 0.3963987386016798 0.0036012613983202324
49 435 459 0.3990587357382093 9.412642617906974E-4
50 22 40 0.3963987386016798 0.0036012613983202324
50 178 244 0.3886390829708272 0.011360917029172801
51 22 40 0.3963987386016798 0.0036012613983202324
52 22 40 0.3963987386016798 0.0036012613983202324
53 22 40 0.3963987386016798 0.0036012613983202324
54 22 40 0.3963987386016798 0.0036012613983202324
55 22 40 0.3963987386016798 0.0036012613983202324
56 22 40 0.3963987386016798 0.0036012613983202324
57 22 40 0.3963987386016798 0.0036012613983202324
58 22 40 0.3963987386016798 0.0036012613983202324
58 32 139 0.39327189513017097 0.006728104869829055
59 22 40 0.3963987386016798 0.0036012613983202324
59 32 139 0.39327189513017097 0.006728104869829055
60 22 40 0.3963987386016798 0.0036012613983202324
60 32 139 0.39327189513017097 0.006728104869829055
60 349 379 0.39686724667735795 0.003132753322642068
61 22 40 0.3963987386016798 0.0036012613983202324
61 32 139 0.39327189513017097 0.006728104869829055
62 22 40 0.3963987386016798 0.0036012613983202324
62 32 139 0.39327189513017097 0.006728104869829055
62 54 73 0.3967879567316434 0.0032120432683566125
63 22 40 0.3963987386016798 0.0036012613983202324
63 32 139 0.39327189513017097 0.006728104869829055
63 54 73 0.3967879567316434 0.0032120432683566125
64 22 40 0.3963987386016798 0.0036012613983202324
64 29 55 0.39607472389044646 0.003925276109553566
64 32 139 0.39327189513017097 0.006728104869829055
64 54 73 0.3967879567316434 0.0032120432683566125
65 22 40 0.3963987386016798 0.0036012613983202324
65 29 55 0.39607472389044646 0.003925276109553566
65 32 139 0.39327189513017097 0.006728104869829055
65 54 73 0.3967879567316434 0.0032120432683566125
66 22 40 0.3963987386016798 0.0036012613983202324
66 29 55 0.39607472389044646 0.003925276109553566
66 32 139 0.39327189513017097 0.006728104869829055
66 54 73 0.3967879567316434 0.0032120432683566125
67 22 40 0.3963987386016798 0.0036012613983202324
67 32 139 0.39327189513017097 0.006728104869829055
67 54 73 0.3967879567316434 0.0032120432683566125
68 22 40 0.3963987386016798 0.0036012613983202324
68 32 139 0.39327189513017097 0.006728104869829055
68 54 73 0.3967879567316434 0.0032120432683566125
69 22 40 0.3963987386016798 0.0036012613983202324
69 32 139 0.39327189513017097 0.006728104869829055
69 54 73 0.3967879567316434 0.0032120432683566125
69 114 311 0.3959034483436202 0.004096551656379843
70 22 40 0.3963987386016798 0.0036012613983202324
70 32 139 0.39327189513017097 0.006728104869829055
70 54 73 0.3967879567316434 0.0032120432683566125
70 636 664 0.39749719756259133 0.002502802437408691
71 22 40 0.3963987386016798 0.0036012613983202324
71 32 139 0.39327189513017097 0.006728104869829055
71 54 73 0.3967879567316434 0.0032120432683566125
71 267 368 0.3884124375593057 0.01158756244069431
72 22 40 0.3963987386016798 0.0036012613983202324
