timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
1 1 255 0.12618153930957537 0.27381846069042465
1 2 922 0.2589509254714617 0.14104907452853832
1 2 932 0.36710420060828564 0.032895799391714386
1 8 740 0.15490030272989214 0.24509969727010789
1 11 222 0.2858104214385063 0.1141895785614937
1 11 923 0.30482979258711795 0.09517020741288207
1 13 719 0.3098597074032778 0.09014029259672224
1 16 297 0.33606077929943623 0.06393922070056379
1 18 943 0.13814706348475786 0.26185293651524216
1 20 94 0.34723109418367093 0.05276890581632909
1 23 796 0.31445814580425796 0.08554185419574206
1 25 77 0.27658650290391645 0.12341349709608357
1 25 466 0.1327201812887178 0.26727981871128226
1 27 810 0.18775743988872198 0.21224256011127804
1 28 211 0.2599778878087751 0.1400221121912249
1 28 456 0.3211234563659659 0.07887654363403412
1 28 527 0.2862221851360895 0.11377781486391053
1 31 480 0.31993066805345044 0.08006933194654958
1 31 561 0.380269428817491 0.019730571182509038
1 31 815 0.34918784966877253 0.05081215033122749
1 32 497 0.23069466548633236 0.16930533451366767
1 33 643 0.27319166415187085 0.12680833584812917
1 34 589 0.29106291034701304 0.10893708965298698
1 35 416 0.23262949793561713 0.1673705020643829
1 36 855 0.2539385023322351 0.14606149766776494
1 36 910 0.16656175717985386 0.23343824282014616
1 37 153 0.28538006062259524 0.11461993937740478
1 38 139 0.3796622320829349 0.020337767917065097
1 39 969 0.305985669396547 0.09401433060345304
1 40 718 0.27184128774247573 0.1281587122575243
1 42 89 0.11529827996065876 0.28470172003934124
1 42 892 0.1580057695922426 0.24199423040775742
1 43 660 0.19801607635033922 0.2019839236496608
1 44 818 0.27949932573863934 0.12050067426136069
1 46 975 0.2239386975094124 0.17606130249058763
1 47 320 0.37879101208754284 0.021208987912457178
1 49 433 0.2787068978668159 0.12129310213318412
1 51 713 0.3728283211483804 0.02717167885161964
1 51 734 0.200487640057829 0.19951235994217104
1 51 797 0.3642920808167987 0.03570791918320132
1 52 67 0.23247987320849445 0.16752012679150557
1 52 829 0.3226130439074185 0.0773869560925815
1 54 894 0.3407793345794827 0.05922066542051735
1 55 546 0.286184521478303 0.11381547852169704
1 55 662 0.3345695207384592 0.06543047926154083
1 56 547 0.35822748092469636 0.04177251907530366
1 56 843 0.052549767664131164 0.34745023233586886
1 57 867 0.2642073632767615 0.13579263672323855
1 58 81 0.3719416951602508 0.02805830483974925
1 58 952 0.3324312631265106 0.06756873687348941
1 60 449 0.29840515128222006 0.10159484871777996
1 62 417 0.09428725012229852 0.3057127498777015
1 63 424 0.32658683712450254 0.07341316287549748
1 64 555 0.3607496165243058 0.039250383475694206
1 65 883 0.3736794813959595 0.0263205186040405
1 66 717 0.32671749962078733 0.07328250037921269
1 67 829 0.17978906893459579 0.22021093106540424
1 68 330 0.17109449881040975 0.22890550118959027
1 68 924 0.2446393275758902 0.15536067242410984
1 69 439 0.1070203969539217 0.29297960304607834
1 71 674 0.39137527861527144 0.008624721384728584
1 73 104 0.294219926048112 0.10578007395188804
1 73 493 0.35427585976172593 0.04572414023827409
1 75 379 0.36786579978341005 0.03213420021658997
1 77 466 0.28826639516773045 0.11173360483226957
1 79 454 0.21020592442138847 0.18979407557861155
1 80 232 0.31137159647252377 0.08862840352747625
1 80 476 0.1762546234719325 0.22374537652806753
1 80 944 0.28898174578615626 0.11101825421384376
1 82 369 0.2625343844945684 0.13746561550543163
1 83 389 0.03835858519484031 0.3616414148051597
1 83 524 0.16380697733897878 0.23619302266102124
1 88 596 0.3801925378249189 0.019807462175081114
1 89 892 0.2657612793643763 0.1342387206356237
1 90 573 0.18582426006343705 0.21417573993656297
1 92 249 0.2882967578452833 0.11170324215471672
1 92 294 0.3392108912588433 0.06078910874115673
1 94 470 0.21208398905050427 0.18791601094949575
